"Identifier (for WP, omit front/back in item identifier)",Title,Year,Description/Transcription for ads,Message,Publisher,Source,Link,Credit Line,Tags,
tracesoftime_nlb_lsb_0001_front,Sea View Hotel,1900 / 1950 (Date of creation estimated by National Library Board of Singapore),This colour postcard has a view of coconut trees in the foreground and the Sea View Hotel in the background.,,The Continental Stamp Company,"Lim Shao Bin Collection, National Library, Singapore",https://eresources.nlb.gov.sg/pictures/Details/62ffb42c-79d7-4a2e-a6ab-6127f8470047,,"Hotels
Sea View Hotel
Continental Stamp Company
Color
Postcard",
tracesoftime_nlb_lsb_0001_back,,,,,,,,,,
tracesoftime_sfpma_0002,"Advertisement for Sea View Hotel, 1906",1906,"The Sea View Hotel.
KATONG
Intending Boarders and Lodgers at the above Hotel are requested kindly to make their applications for Rooms as early as possible. The Management will be glad to furnish the rooms singly or en suite (for family) to suit their visitors, etc. 

To meet the convenience of business men living at Katong, arrangements will be made with any of the heading Hotels to supply them with Tiffin, which will be included in the Monthly terms - also Steam Launch fares to and from Katong will be included in the monthly terms.

In the event of rain or bad weather, Gharis and Jinrikshas will be provided at the terminus of the Tramways and at the Hotel, to bring the Boarders to the Hotel or take them to the Tram. 

The Hotel will be newly furnished, and nothing will be spared to make it as comfortable as possible. The Hotel will be opened about the 15th of next May. 

FOR TERMS ETC., APPLY TO: 
The Manager, Sea View Hotel.
c/o HOTEL De l'EUROPE.",,,"The Singapore Free Press and Mercantile Advertiser, 4 April 1906, Page 2 (Microfilm Reel NL5313)",https://eresources.nlb.gov.sg/newspapers/Digitised/Article/singfreepressb19060404-1.2.7.2,,"Hotels
Sea View Hotel
Advertisements",
tracesoftime_nlb_lsb_0003_front,"Beach along Connaught Drive, Sekidenkan Hotel, Botanic Gardens",1911,"This black-and-white postcard features (clockwise from top left) the beach along Connaught Drive, Sekidenkan Hotel at Beach Road, and the Botanic Gardens. It was sent by an official from the Ministry of Agriculture, Japan to Yekichi Takeda at the Ministry of Finance. The postcard was sent to Tokyo from Tanjong Pagar, Singapore.",The official notes to Takeda that he would arrive in Singapore on April 17.,Togo & Co. Printing,"Lim Shao Bin Collection, National Library, Singapore",https://eresources.nlb.gov.sg/pictures/Details/ead7e99a-f73d-42d6-9185-854647a2764a,,"Hotels
Sekidenkan Hotel
Connaught Drive
Botanic Gardens
Color
Postcard",
tracesoftime_nlb_lsb_0003_back,,,,,,,,,,
tracesoftime_nlb_lsb_0004_front,Planter's Hotel,1920,"This black-and-white postcard features the façade of the two-storey Planter's Hotel. An individual dressed in traditional Malay dress, an individual sitting on something and two individuals at the windows of the top floor can also be seen. Visible in the top right of the photo is the image of a man dressed in formal Western dress. 

A nengajō, or New Year's Greeting Card, this postcard was sent from Singapore on 31 December 1920 to Taiping (4 January 1921). It was returned undelivered to Kuala Lumpur on 5 January 1921.

There is a Planter's Hotel postmark on the back of the postcard, with the words ""Planter's Hotel, 233 Bencoolen St, Singapore"" encircling the Japanese katakana characters ""プランタースホテル"", a transliteration of the hotel's name. See also tracesoftime_st_005.","The message, written in Japanese, is a standard New Year's greeting ([indecipherable]賀新年). ",Unknown,"Lim Shao Bin Collection, National Library, Singapore",https://eresources.nlb.gov.sg/pictures/Details/5cc16ead-6c70-4ccd-a6e7-1f2763a4036c,,"Hotels
Planter's Hotel
Non-color Postcards",
tracesoftime_nlb_lsb_0004_back,,,,,,,,,,
tracesoftime_st_0005,"Advertisement for Azuma Hotel, 1919",1919,"SAVE YOUR EXPENSES AND BE COMFORTABLE BY STAYING AT
AZUMA HOTEL 
233, Bencoolen Street
Respectable, clean, large rooms (well-aired), comfortable, furnished, good cooks and servants. Hot and cold baths with board and lodging.

[Note in an exhibit: It is possible Azuma Hotel became the Planter's Hotel (see postcard tracesoftime_nlb_lsb_004) in 1920, although it is unclear whether it was the same proprietor.]",,,"The Straits Times, 18 June 1919, Page 7 (Microfilm Reel NL00456)",https://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19190618-1.2.19.4,,"Hotels
Azuma Hotel
Advertisements
Bencoolen Street",
tracesoftime_sfpma_0006,"Massage Ad, 1922",12/9/22,"LIGHT MASSEUSE
Daily from 8 a.m. to 10 p.m. at the Planters Hotel, 233 Bencoolen Street, Singapore",,,"The Singapore Free Press and Mercantile Advertiser, 12 September 1922, Page 3 (Microfilm Reel NL1686)",https://eresources.nlb.gov.sg/newspapers/Digitised/Article/singfreepressb19220912-1.2.13.1,,"Hotels
Planter's Hotel
Bencoolen Street",
tracesoftime_st_0010,Massage and Manicure Ad - Miss Masako,12/11/24,"MASSAGE AND MANICURE
Miss MASAKO.
KOBEKAN HOTEL
69, Bukit Timah Road.
Hours: 9 am. to 10 p.m.",,,"The Straits Times, 12 November 1924, Page 14 (NL00524)",https://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19241112-1.2.91.2,,"Businesses
Masseuses
Advertisements
Bukit Timah Road",
tracesoftime_nlb_lsb_0017_front,Hylam Street,Undated,"This black-and-white postcard features an image of Hylam Street. Shophouses line both sides of the street, with a car and several rickshaws on the streets. At the bottom right of the image is a signboard with the words ""S.T. Yamat[cut-off] Japanese Photography.""",,,"Lim Shao Bin Collection, National Library, Singapore",https://eresources.nlb.gov.sg/pictures/Details/32181242-a3d6-490d-92b4-9652aab2c913,,"Businesses
Postcards
Photography
",
tracesoftime_nlb_lsb_0017_back,,,,,,,,,,
tracesoftime_st_0018,"Advertisement for Planter's Hotel, 1921",1921,"PLANTER'S HOTEL, several comfortable rooms vacant with board. Monthly from $130 or without board by arrangement. Apply 233, Bencoolen Street, Phone 2620.",,,"The Straits Times, 9 December 1921, Page 16 (Microfilm Reel NL00489(",https://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19211209-1.2.101.4,,"Hotels
Planter's Hotel
Advertisements
Bencoolen Street",
tracesoftime_st_0019,"Advertisement for Planter's Hotel, 1922",1922,"PLANTER'S HOTEL. First-class rsidental Hotel. Rates monthly from $40 room only, $110 with full board, daily $6 and $3. Telephone 2620. 233, Bencoolen Street. ",,,"The Straits Times, 1 July 1922, Page 16
(NL00496)",https://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19220701-1.2.101.4,,"Hotels
Planter's Hotel
Advertisements
Bencoolen Street",
tracesoftime_mt_0020,"Advertisement for Miyako Hotel, 1914",1914,"The Only Japanese Hotel for Foreigners
MIYAKO HOTEL.
BEACH ROAD, SINGAPORE, (Next to Raffles Hotel).
Sea breeze and good view.
ELECTRIC LIGHT and BELL THROUGHOUT
with or without board.
TO ANY NATION. TERMS MODERATE.
Cable Address ""MIYAKO"" 'Phone 1182. 
5-11",,,"Malaya Tribune., 6 May 1914, Page 9 (Microfilm Reel NL2087)",https://eresources.nlb.gov.sg/newspapers/Digitised/Article/maltribune19140506-1.2.55.1,,"Hotels
Miyako Hotel
Advertisements
Beach Road",
